"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2025","2,465.00","2,465.00","2,465.00","2,465.00","","-0.28%"
"03/28/2025","2,472.00","2,472.00","2,472.00","2,472.00","","-4.22%"
"03/26/2025","2,581.00","2,581.00","2,581.00","2,581.00","","-1.86%"
"03/25/2025","2,630.00","2,630.00","2,630.00","2,630.00","","-2.23%"
"03/24/2025","2,690.00","2,690.00","2,690.00","2,690.00","","0.52%"
"03/21/2025","2,676.00","2,676.00","2,676.00","2,676.00","","0.22%"
"03/20/2025","2,670.00","2,670.00","2,670.00","2,670.00","","28.24%"
"03/06/2025","2,082.00","2,082.00","2,082.00","2,082.00","","9.93%"
"03/05/2025","1,894.00","1,894.00","1,894.00","1,894.00","","-3.81%"
"03/04/2025","1,969.00","1,969.00","1,969.00","1,969.00","","-0.56%"
"03/03/2025","1,980.00","1,980.00","1,980.00","1,980.00","","8.91%"
"02/28/2025","1,818.00","1,818.00","1,818.00","1,818.00","","15.58%"
"02/27/2025","1,573.00","1,573.00","1,573.00","1,573.00","","12.60%"
"02/26/2025","1,397.00","1,397.00","1,397.00","1,397.00","","20.53%"
"02/25/2025","1,159.00","1,159.00","1,159.00","1,159.00","","11.55%"
"02/24/2025","1,039.00","1,039.00","1,039.00","1,039.00","","4.84%"
"02/21/2025","991.00","991.00","991.00","991.00","","8.07%"
"02/20/2025","917.00","917.00","917.00","917.00","","5.77%"
"02/19/2025","867.00","867.00","867.00","867.00","","14.53%"
"02/18/2025","757.00","757.00","757.00","757.00","","4.41%"
"02/17/2025","725.00","725.00","725.00","725.00","","1.26%"
"02/14/2025","716.00","716.00","716.00","716.00","","0.70%"
"02/13/2025","711.00","711.00","711.00","711.00","","0.00%"
"02/12/2025","711.00","711.00","711.00","711.00","","-8.73%"
"02/11/2025","779.00","779.00","779.00","779.00","","-3.83%"
"02/10/2025","810.00","810.00","810.00","810.00","","-3.57%"
"02/07/2025","840.00","840.00","840.00","840.00","","3.45%"
"02/06/2025","812.00","812.00","812.00","812.00","","0.00%"
"02/05/2025","812.00","812.00","812.00","812.00","","-3.79%"
"02/04/2025","844.00","844.00","844.00","844.00","","-1.97%"
"02/03/2025","861.00","861.00","861.00","861.00","","-1.49%"
"01/31/2025","874.00","874.00","874.00","874.00","","3.92%"
"01/30/2025","841.00","841.00","841.00","841.00","","-4.00%"
"01/29/2025","876.00","876.00","876.00","876.00","","-5.91%"
"01/28/2025","931.00","931.00","931.00","931.00","","-2.82%"
"01/27/2025","958.00","958.00","958.00","958.00","","-2.54%"
"01/24/2025","983.00","983.00","983.00","983.00","","-9.07%"
"01/23/2025","1,081.00","1,081.00","1,081.00","1,081.00","","-12.54%"
"01/22/2025","1,236.00","1,236.00","1,236.00","1,236.00","","-3.74%"
"01/21/2025","1,284.00","1,284.00","1,284.00","1,284.00","","-3.24%"
"01/20/2025","1,327.00","1,327.00","1,327.00","1,327.00","","-4.74%"
"01/17/2025","1,393.00","1,393.00","1,393.00","1,393.00","","-6.01%"
"01/16/2025","1,482.00","1,482.00","1,482.00","1,482.00","","-6.26%"
"01/15/2025","1,581.00","1,581.00","1,581.00","1,581.00","","-1.43%"
"01/14/2025","1,604.00","1,604.00","1,604.00","1,604.00","","-0.68%"
"01/13/2025","1,615.00","1,615.00","1,615.00","1,615.00","","11.53%"
"01/10/2025","1,448.00","1,448.00","1,448.00","1,448.00","","24.40%"
"01/09/2025","1,164.00","1,164.00","1,164.00","1,164.00","","5.82%"
"01/08/2025","1,100.00","1,100.00","1,100.00","1,100.00","","-9.69%"
"01/07/2025","1,218.00","1,218.00","1,218.00","1,218.00","","-5.58%"
"01/06/2025","1,290.00","1,290.00","1,290.00","1,290.00","","-6.18%"
"01/03/2025","1,375.00","1,375.00","1,375.00","1,375.00","","9.04%"
"01/02/2025","1,261.00","1,261.00","1,261.00","1,261.00","","9.94%"
"12/24/2024","1,147.00","1,147.00","1,147.00","1,147.00","","1.33%"
"12/23/2024","1,132.00","1,132.00","1,132.00","1,132.00","","1.52%"
"12/20/2024","1,115.00","1,115.00","1,115.00","1,115.00","","3.34%"
"12/19/2024","1,079.00","1,079.00","1,079.00","1,079.00","","-12.77%"
"12/18/2024","1,237.00","1,237.00","1,237.00","1,237.00","","-5.43%"
"12/17/2024","1,308.00","1,308.00","1,308.00","1,308.00","","-2.39%"
"12/16/2024","1,340.00","1,340.00","1,340.00","1,340.00","","6.10%"
"12/13/2024","1,263.00","1,263.00","1,263.00","1,263.00","","0.88%"
"12/12/2024","1,252.00","1,252.00","1,252.00","1,252.00","","-9.08%"
"12/11/2024","1,377.00","1,377.00","1,377.00","1,377.00","","-8.38%"
"12/10/2024","1,503.00","1,503.00","1,503.00","1,503.00","","-1.89%"
"12/09/2024","1,532.00","1,532.00","1,532.00","1,532.00","","-0.20%"
"12/06/2024","1,535.00","1,535.00","1,535.00","1,535.00","","0.33%"
"12/05/2024","1,530.00","1,530.00","1,530.00","1,530.00","","-4.91%"
"12/04/2024","1,609.00","1,609.00","1,609.00","1,609.00","","-10.21%"
"12/03/2024","1,792.00","1,792.00","1,792.00","1,792.00","","-9.17%"
"12/02/2024","1,973.00","1,973.00","1,973.00","1,973.00","","-7.50%"
"11/29/2024","2,133.00","2,133.00","2,133.00","2,133.00","","-7.74%"
"11/28/2024","2,312.00","2,312.00","2,312.00","2,312.00","","-10.00%"
"11/27/2024","2,569.00","2,569.00","2,569.00","2,569.00","","-7.56%"
"11/26/2024","2,779.00","2,779.00","2,779.00","2,779.00","","6.35%"
"11/25/2024","2,613.00","2,613.00","2,613.00","2,613.00","","-0.50%"
"11/22/2024","2,626.00","2,626.00","2,626.00","2,626.00","","-3.60%"
"11/21/2024","2,724.00","2,724.00","2,724.00","2,724.00","","-3.06%"
"11/20/2024","2,810.00","2,810.00","2,810.00","2,810.00","","0.07%"
"11/19/2024","2,808.00","2,808.00","2,808.00","2,808.00","","-11.20%"
"11/18/2024","3,162.00","3,162.00","3,162.00","3,162.00","","-2.07%"
"11/15/2024","3,229.00","3,229.00","3,229.00","3,229.00","","9.98%"
"11/14/2024","2,936.00","2,936.00","2,936.00","2,936.00","","6.92%"
"11/13/2024","2,746.00","2,746.00","2,746.00","2,746.00","","-0.25%"
"11/12/2024","2,753.00","2,753.00","2,753.00","2,753.00","","9.38%"
"11/11/2024","2,517.00","2,517.00","2,517.00","2,517.00","","8.68%"
"11/08/2024","2,316.00","2,316.00","2,316.00","2,316.00","","7.12%"
"11/07/2024","2,162.00","2,162.00","2,162.00","2,162.00","","4.95%"
"11/06/2024","2,060.00","2,060.00","2,060.00","2,060.00","","4.73%"
"11/05/2024","1,967.00","1,967.00","1,967.00","1,967.00","","6.38%"
"11/04/2024","1,849.00","1,849.00","1,849.00","1,849.00","","0.05%"
"11/01/2024","1,848.00","1,848.00","1,848.00","1,848.00","","-0.27%"
"10/31/2024","1,853.00","1,853.00","1,853.00","1,853.00","","0.38%"
"10/30/2024","1,846.00","1,846.00","1,846.00","1,846.00","","-0.70%"
"10/29/2024","1,859.00","1,859.00","1,859.00","1,859.00","","4.09%"
"10/28/2024","1,786.00","1,786.00","1,786.00","1,786.00","","-3.77%"
"10/25/2024","1,856.00","1,856.00","1,856.00","1,856.00","","-0.16%"
"10/24/2024","1,859.00","1,859.00","1,859.00","1,859.00","","-3.23%"
"10/23/2024","1,921.00","1,921.00","1,921.00","1,921.00","","-4.33%"
"10/22/2024","2,008.00","2,008.00","2,008.00","2,008.00","","-8.35%"
"10/21/2024","2,191.00","2,191.00","2,191.00","2,191.00","","-3.73%"
"10/18/2024","2,276.00","2,276.00","2,276.00","2,276.00","","-1.98%"
"10/17/2024","2,322.00","2,322.00","2,322.00","2,322.00","","-9.01%"
"10/16/2024","2,552.00","2,552.00","2,552.00","2,552.00","","-7.97%"
"10/15/2024","2,773.00","2,773.00","2,773.00","2,773.00","","-3.65%"
"10/14/2024","2,878.00","2,878.00","2,878.00","2,878.00","","1.52%"
"10/11/2024","2,835.00","2,835.00","2,835.00","2,835.00","","2.90%"
"10/10/2024","2,755.00","2,755.00","2,755.00","2,755.00","","-1.11%"
"10/09/2024","2,786.00","2,786.00","2,786.00","2,786.00","","-6.79%"
"10/08/2024","2,989.00","2,989.00","2,989.00","2,989.00","","-5.44%"
"10/07/2024","3,161.00","3,161.00","3,161.00","3,161.00","","-2.53%"
"10/04/2024","3,243.00","3,243.00","3,243.00","3,243.00","","-1.70%"
"10/03/2024","3,299.00","3,299.00","3,299.00","3,299.00","","-2.94%"
