"Date","Price","Open","High","Low","Vol.","Change %"
"31-03-2025","614.00","614.00","614.00","614.00","","0.00%"
"28-03-2025","614.00","614.00","614.00","614.00","","1.15%"
"27-03-2025","607.00","607.00","607.00","607.00","","0.66%"
"26-03-2025","603.00","603.00","603.00","603.00","","0.33%"
"25-03-2025","601.00","601.00","601.00","601.00","","0.33%"
"24-03-2025","599.00","599.00","599.00","599.00","","0.50%"
"21-03-2025","596.00","596.00","596.00","596.00","","0.51%"
"20-03-2025","593.00","593.00","593.00","593.00","","7.23%"
"06-03-2025","553.00","553.00","553.00","553.00","","0.73%"
"05-03-2025","549.00","549.00","549.00","549.00","","0.18%"
"04-03-2025","548.00","548.00","548.00","548.00","","0.18%"
"03-03-2025","547.00","547.00","547.00","547.00","","0.00%"
"28-02-2025","547.00","547.00","547.00","547.00","","0.18%"
"27-02-2025","546.00","546.00","546.00","546.00","","-0.18%"
"26-02-2025","547.00","547.00","547.00","547.00","","0.74%"
"25-02-2025","543.00","543.00","543.00","543.00","","0.56%"
"24-02-2025","540.00","540.00","540.00","540.00","","1.12%"
"21-02-2025","534.00","534.00","534.00","534.00","","2.10%"
"20-02-2025","523.00","523.00","523.00","523.00","","2.35%"
"19-02-2025","511.00","511.00","511.00","511.00","","2.40%"
"18-02-2025","499.00","499.00","499.00","499.00","","2.67%"
"17-02-2025","486.00","486.00","486.00","486.00","","2.97%"
"14-02-2025","472.00","472.00","472.00","472.00","","3.74%"
"13-02-2025","455.00","455.00","455.00","455.00","","3.88%"
"12-02-2025","438.00","438.00","438.00","438.00","","4.53%"
"11-02-2025","419.00","419.00","419.00","419.00","","2.70%"
"10-02-2025","408.00","408.00","408.00","408.00","","2.51%"
"07-02-2025","398.00","398.00","398.00","398.00","","2.58%"
"06-02-2025","388.00","388.00","388.00","388.00","","3.19%"
"05-02-2025","376.00","376.00","376.00","376.00","","1.35%"
"04-02-2025","371.00","371.00","371.00","371.00","","-0.27%"
"03-02-2025","372.00","372.00","372.00","372.00","","-1.33%"
"31-01-2025","377.00","377.00","377.00","377.00","","-1.05%"
"30-01-2025","381.00","381.00","381.00","381.00","","-0.78%"
"29-01-2025","384.00","384.00","384.00","384.00","","-1.29%"
"28-01-2025","389.00","389.00","389.00","389.00","","-2.26%"
"27-01-2025","398.00","398.00","398.00","398.00","","-3.16%"
"24-01-2025","411.00","411.00","411.00","411.00","","-1.67%"
"23-01-2025","418.00","418.00","418.00","418.00","","-2.34%"
"22-01-2025","428.00","428.00","428.00","428.00","","-1.83%"
"21-01-2025","436.00","436.00","436.00","436.00","","-2.24%"
"20-01-2025","446.00","446.00","446.00","446.00","","-1.55%"
"17-01-2025","453.00","453.00","453.00","453.00","","-2.37%"
"16-01-2025","464.00","464.00","464.00","464.00","","-2.73%"
"15-01-2025","477.00","477.00","477.00","477.00","","-3.44%"
"14-01-2025","494.00","494.00","494.00","494.00","","-1.59%"
"13-01-2025","502.00","502.00","502.00","502.00","","-1.18%"
"10-01-2025","508.00","508.00","508.00","508.00","","-1.36%"
"09-01-2025","515.00","515.00","515.00","515.00","","-1.72%"
"08-01-2025","524.00","524.00","524.00","524.00","","-1.50%"
"07-01-2025","532.00","532.00","532.00","532.00","","-1.30%"
"06-01-2025","539.00","539.00","539.00","539.00","","-1.82%"
