Date,Price,Open,High,Low,Vol.,Change %
31/03/25,"1,501.00","1,501.00","1,501.00","1,501.00",,0.27%
28/03/25,"1,497.00","1,497.00","1,497.00","1,497.00",,10.32%
20/03/25,"1,357.00","1,357.00","1,357.00","1,357.00",,36.79%
06/03/25,992,992,992,992,,-0.80%
05/03/25,"1,000.00","1,000.00","1,000.00","1,000.00",,-2.34%
04/03/25,"1,024.00","1,024.00","1,024.00","1,024.00",,-2.01%
03/03/25,"1,045.00","1,045.00","1,045.00","1,045.00",,-1.69%
28/02/25,"1,063.00","1,063.00","1,063.00","1,063.00",,-2.66%
27/02/25,"1,092.00","1,092.00","1,092.00","1,092.00",,-3.19%
26/02/25,"1,128.00","1,128.00","1,128.00","1,128.00",,-2.42%
25/02/25,"1,156.00","1,156.00","1,156.00","1,156.00",,-1.78%
24/02/25,"1,177.00","1,177.00","1,177.00","1,177.00",,0.60%
21/02/25,"1,170.00","1,170.00","1,170.00","1,170.00",,2.27%
20/02/25,"1,144.00","1,144.00","1,144.00","1,144.00",,3.62%
19/02/25,"1,104.00","1,104.00","1,104.00","1,104.00",,5.95%
18/02/25,"1,042.00","1,042.00","1,042.00","1,042.00",,4.51%
17/02/25,997,997,997,997,,1.73%
14/02/25,980,980,980,980,,0.62%
13/02/25,974,974,974,974,,-0.92%
12/02/25,983,983,983,983,,-2.77%
11/02/25,"1,011.00","1,011.00","1,011.00","1,011.00",,-1.65%
10/02/25,"1,028.00","1,028.00","1,028.00","1,028.00",,-0.68%
07/02/25,"1,035.00","1,035.00","1,035.00","1,035.00",,0.58%
06/02/25,"1,029.00","1,029.00","1,029.00","1,029.00",,4.15%
05/02/25,988,988,988,988,,9.66%
04/02/25,901,901,901,901,,8.55%
03/02/25,830,830,830,830,,3.75%
31/01/25,800,800,800,800,,4.30%
30/01/25,767,767,767,767,,2.13%
29/01/25,751,751,751,751,,0.40%
28/01/25,748,748,748,748,,-1.45%
27/01/25,759,759,759,759,,-1.94%
24/01/25,774,774,774,774,,-3.73%
23/01/25,804,804,804,804,,-4.63%
22/01/25,843,843,843,843,,-3.55%
21/01/25,874,874,874,874,,-2.13%
20/01/25,893,893,893,893,,-0.45%
17/01/25,897,897,897,897,,0.11%
16/01/25,896,896,896,896,,0.22%
15/01/25,894,894,894,894,,-1.32%
14/01/25,906,906,906,906,,-2.16%
13/01/25,926,926,926,926,,-2.83%
10/01/25,953,953,953,953,,-3.93%
09/01/25,992,992,992,992,,-4.34%
08/01/25,"1,037.00","1,037.00","1,037.00","1,037.00",,-2.26%
07/01/25,"1,061.00","1,061.00","1,061.00","1,061.00",,0.00%
06/01/25,"1,061.00","1,061.00","1,061.00","1,061.00",,2.02%
03/01/25,"1,040.00","1,040.00","1,040.00","1,040.00",,4.00%
02/01/25,"1,000.00","1,000.00","1,000.00","1,000.00",,1.21%
24/12/24,988,988,988,988,,0.82%
23/12/24,980,980,980,980,,0.41%
20/12/24,976,976,976,976,,1.24%
19/12/24,964,964,964,964,,0.73%
18/12/24,957,957,957,957,,-0.21%
17/12/24,959,959,959,959,,-1.84%
16/12/24,977,977,977,977,,-1.81%
13/12/24,995,995,995,995,,-2.55%
12/12/24,"1,021.00","1,021.00","1,021.00","1,021.00",,-3.04%
11/12/24,"1,053.00","1,053.00","1,053.00","1,053.00",,-2.23%
10/12/24,"1,077.00","1,077.00","1,077.00","1,077.00",,-0.19%
09/12/24,"1,079.00","1,079.00","1,079.00","1,079.00",,1.12%
06/12/24,"1,067.00","1,067.00","1,067.00","1,067.00",,2.60%
05/12/24,"1,040.00","1,040.00","1,040.00","1,040.00",,2.56%
04/12/24,"1,014.00","1,014.00","1,014.00","1,014.00",,0.90%
03/12/24,"1,005.00","1,005.00","1,005.00","1,005.00",,-0.40%
02/12/24,"1,009.00","1,009.00","1,009.00","1,009.00",,-0.88%
29/11/24,"1,018.00","1,018.00","1,018.00","1,018.00",,-0.97%
28/11/24,"1,028.00","1,028.00","1,028.00","1,028.00",,-1.53%
27/11/24,"1,044.00","1,044.00","1,044.00","1,044.00",,-1.14%
