"Date","Price","Open","High","Low","Vol.","Change %"
"31-03-2025","1,501.00","1,501.00","1,501.00","1,501.00","","0.27%"
"28-03-2025","1,497.00","1,497.00","1,497.00","1,497.00","","10.32%"
"20-03-2025","1,357.00","1,357.00","1,357.00","1,357.00","","36.79%"
"06-03-2025","992.00","992.00","992.00","992.00","","-0.80%"
"05-03-2025","1,000.00","1,000.00","1,000.00","1,000.00","","-2.34%"
"04-03-2025","1,024.00","1,024.00","1,024.00","1,024.00","","-2.01%"
"03-03-2025","1,045.00","1,045.00","1,045.00","1,045.00","","-1.69%"
"28-02-2025","1,063.00","1,063.00","1,063.00","1,063.00","","-2.66%"
"27-02-2025","1,092.00","1,092.00","1,092.00","1,092.00","","-3.19%"
"26-02-2025","1,128.00","1,128.00","1,128.00","1,128.00","","-2.42%"
"25-02-2025","1,156.00","1,156.00","1,156.00","1,156.00","","-1.78%"
"24-02-2025","1,177.00","1,177.00","1,177.00","1,177.00","","0.60%"
"21-02-2025","1,170.00","1,170.00","1,170.00","1,170.00","","2.27%"
"20-02-2025","1,144.00","1,144.00","1,144.00","1,144.00","","3.62%"
"19-02-2025","1,104.00","1,104.00","1,104.00","1,104.00","","5.95%"
"18-02-2025","1,042.00","1,042.00","1,042.00","1,042.00","","4.51%"
"17-02-2025","997.00","997.00","997.00","997.00","","1.73%"
"14-02-2025","980.00","980.00","980.00","980.00","","0.62%"
"13-02-2025","974.00","974.00","974.00","974.00","","-0.92%"
"12-02-2025","983.00","983.00","983.00","983.00","","-2.77%"
